date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:22	588948/588948	---MCZ	200	added ('OK')	text/html	etag:W/%22b8ff04ae96fd817218a9c33169057c65%22	https://khushinahata04.wixsite.com/fashion-blogger	C:/My%20Web%20Sites/FashionBlog/khushinahata04.wixsite.com/fashion-blogger.html	(from )
20:00:22	404/404	---M--	200	added ('OK')	text/plain	date:Mon,%2028%20Aug%202023%2014:30:24%20GMT	https://khushinahata04.wixsite.com/robots.txt		(from )
20:00:22	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/FashionBlog/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:23	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/FashionBlog/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:23	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2010%20Aug%202023%2013:32:32%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/FashionBlog/polyfill.io/v3/polyfill.mind82c.js	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:25	9407/9407	---MCZ	200	added ('OK')	text/xml	date:Mon,%2028%20Aug%202023%2014:30:27%20GMT	https://khushinahata04.wixsite.com/fashion-blogger/blog-feed.xml	C:/My%20Web%20Sites/FashionBlog/khushinahata04.wixsite.com/fashion-blogger/blog-feed.xml	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:26	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2014:30:28%20GMT	https://khushinahata04.wixsite.com/	C:/My%20Web%20Sites/FashionBlog/khushinahata04.wixsite.com/index.html	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:27	427169/427169	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:30:28%20GMT	https://khushinahata04.wixsite.com/fashion-blogger/blank-1	C:/My%20Web%20Sites/FashionBlog/khushinahata04.wixsite.com/fashion-blogger/blank-1.html	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:30	471173/471173	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:30:29%20GMT	https://khushinahata04.wixsite.com/fashion-blogger/blank-2	C:/My%20Web%20Sites/FashionBlog/khushinahata04.wixsite.com/fashion-blogger/blank-2.html	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:31	754661/754661	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:30:31%20GMT	https://khushinahata04.wixsite.com/fashion-blogger/category/all-products	C:/My%20Web%20Sites/FashionBlog/khushinahata04.wixsite.com/fashion-blogger/category/all-products.html	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:32	3296/3296	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Aug%202023%2014:30:33%20GMT	https://static.wixstatic.com/media/11062b_7878ca8fe5ca402d9fb634b9bf030b23~mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_7878ca8fe5ca402d9fb634b9bf030b23~mv2.jpg	C:/My%20Web%20Sites/FashionBlog/static.wixstatic.com/media/11062b_7878ca8fe5ca402d9fb634b9bf030b23_mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_7878ca8fe5ca402d9fb634b9bf030b23_mv2.jpg	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:32	594989/594989	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:30:32%20GMT	https://khushinahata04.wixsite.com/fashion-blogger/blog	C:/My%20Web%20Sites/FashionBlog/khushinahata04.wixsite.com/fashion-blogger/blog.html	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:32	2829/2829	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Aug%202023%2014:30:34%20GMT	https://static.wixstatic.com/media/78d045_634fe225a107441ca6a9ddfc58bd28f9~mv2.jpg/v1/fill/w_250,h_250,fp_0.50_0.50,q_30,blur_30,enc_auto/78d045_634fe225a107441ca6a9ddfc58bd28f9~mv2.jpg	C:/My%20Web%20Sites/FashionBlog/static.wixstatic.com/media/78d045_634fe225a107441ca6a9ddfc58bd28f9_mv2.jpg/v1/fill/w_250,h_250,fp_0.50_0.50,q_30,blur_30,enc_auto/78d045_634fe225a107441ca6a9ddfc58bd28f9_mv2.jpg	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:33	9973/9973	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Aug%202023%2014:30:35%20GMT	https://static.wixstatic.com/media/78d045_634fe225a107441ca6a9ddfc58bd28f9~mv2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90,enc_auto/78d045_634fe225a107441ca6a9ddfc58bd28f9~mv2.jpg	C:/My%20Web%20Sites/FashionBlog/static.wixstatic.com/media/78d045_634fe225a107441ca6a9ddfc58bd28f9_mv2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90,enc_auto/78d045_634fe225a107441ca6a9ddfc58bd28f9_mv2.jpg	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:34	4164/4164	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Aug%202023%2014:30:36%20GMT	https://static.wixstatic.com/media/78d045_bd3b500c853c4af4a99079daf3ac4a2a~mv2.jpg/v1/fill/w_250,h_250,fp_0.50_0.50,q_30,blur_30,enc_auto/78d045_bd3b500c853c4af4a99079daf3ac4a2a~mv2.jpg	C:/My%20Web%20Sites/FashionBlog/static.wixstatic.com/media/78d045_bd3b500c853c4af4a99079daf3ac4a2a_mv2.jpg/v1/fill/w_250,h_250,fp_0.50_0.50,q_30,blur_30,enc_auto/78d045_bd3b500c853c4af4a99079daf3ac4a2a_mv2.jpg	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:35	19454/19454	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Aug%202023%2014:30:37%20GMT	https://static.wixstatic.com/media/78d045_bd3b500c853c4af4a99079daf3ac4a2a~mv2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90,enc_auto/78d045_bd3b500c853c4af4a99079daf3ac4a2a~mv2.jpg	C:/My%20Web%20Sites/FashionBlog/static.wixstatic.com/media/78d045_bd3b500c853c4af4a99079daf3ac4a2a_mv2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90,enc_auto/78d045_bd3b500c853c4af4a99079daf3ac4a2a_mv2.jpg	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:35	584807/584807	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:30:36%20GMT	https://khushinahata04.wixsite.com/fashion-blogger/post/template-how-to-write-a-tips-blog-post	C:/My%20Web%20Sites/FashionBlog/khushinahata04.wixsite.com/fashion-blogger/post/template-how-to-write-a-tips-blog-post.html	(from https://khushinahata04.wixsite.com/fashion-blogger)
20:00:37	212409/212409	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Aug%202023%2014:30:39%20GMT	https://static.wixstatic.com/media/e2f969_80d292efd191464ca0be9ad9839038ca~mv2.png/v1/fill/w_454,h_341,fp_0.50_0.50,q_95,enc_auto/e2f969_80d292efd191464ca0be9ad9839038ca~mv2.png	C:/My%20Web%20Sites/FashionBlog/static.wixstatic.com/media/e2f969_80d292efd191464ca0be9ad9839038ca_mv2.png/v1/fill/w_454,h_341,fp_0.50_0.50,q_95,enc_auto/e2f969_80d292efd191464ca0be9ad9839038ca_mv2.png	(from https://khushinahata04.wixsite.com/fashion-blogger)
